Destination Type,Trip Purpose,Budget Range,Travel Season,Travel Duration,Accommodation Preference,Interest,Food Interests,Travel Type / Group,Country_Info
Mountains,Adventure,Mid-Range,Spring,A Month,Camping,Culture,Vegetarian,Friends Group,Spain - La Sagrada Familia in Barcelona
Mountains,Other,Budget-Friendly,Summer,A Month,Hotel,Relaxation,Non-Vegetarian,Solo Traveler,India - Taj Mahal
Countryside,Other,Luxury,Summer,3-days,Hostel,Relaxation,Vegan,Couples,Italy - Venetian Canals in Venice
Beach,Family Vacation,Luxury,Spring,A Month,Hostel,Relaxation,Vegetarian,Family with Kids,Australia - Great Barrier Reef
Other,Adventure,Mid-Range,Autumn,Weekend,Hostel,Relaxation,Non-Vegetarian,Solo Traveler,New Zealand - Milford Sound
Historical Sites,Honeymoon,Mid-Range,Summer,A Month,Hotel,Relaxation,Vegetarian,Business Group,France - Eiffel Tower in Paris
Countryside,Other,Luxury,Spring,Long(+month),Resort,Relaxation,Vegetarian,Family with Kids,South Africa - Safari in Kruger National Park
City,Spiritual Retreat,Luxury,Autumn,3-days,Apartment,Culture,Non-Vegetarian,Solo Traveler,Brazil - Carnival in Rio de Janeiro
Island,Honeymoon,Luxury,Spring,Weekend,Hotel,Adventure,Vegetarian,Friends Group,Indonesia - Bali Temples
Island,Spiritual Retreat,Mid-Range,Autumn,3-days,Hotel,Adventure,Non-Vegetarian,Business Group,Switzerland - Swiss Alps
Countryside,Spiritual Retreat,Budget-Friendly,Summer,3-days,Camping,Relaxation,Vegan,Family with Kids,USA - Grand Canyon
Beach,Adventure,Luxury,Summer,Weekend,Hotel,Adventure,Non-Vegetarian,Solo Traveler,Japan - Cherry Blossoms in Kyoto
Historical Sites,Adventure,Luxury,Summer,A Month,Apartment,Adventure,Vegetarian,Couples,Australia - Great Barrier Reef
Other,Other,Mid-Range,Spring,Long(+month),Camping,Culture,Vegan,Friends Group,Thailand - Beaches in Phuket
City,Family Vacation,Mid-Range,Winter,Long(+month),Apartment,Adventure,Vegan,Family with Kids,Japan - Cherry Blossoms in Kyoto
City,Spiritual Retreat,Luxury,Winter,Long(+month),Camping,Adventure,Non-Vegetarian,Solo Traveler,Japan - Cherry Blossoms in Kyoto
Beach,Other,Mid-Range,Winter,Long(+month),Hostel,Nature,Non-Vegetarian,Friends Group,Canada - Niagara Falls
Mountains,Family Vacation,Luxury,Summer,Long(+month),Resort,Adventure,Vegan,Solo Traveler,France - Eiffel Tower in Paris
Countryside,Adventure,Budget-Friendly,Summer,3-days,Resort,Relaxation,Vegan,Solo Traveler,New Zealand - Milford Sound
Beach,Family Vacation,Budget-Friendly,Autumn,A Month,Apartment,Adventure,Vegan,Couples,Indonesia - Bali Temples
Countryside,Spiritual Retreat,Mid-Range,Spring,Weekend,Camping,Relaxation,Vegan,Friends Group,Greece - Santorini Sunset
City,Adventure,Mid-Range,Summer,A Month,Hotel,Nature,Vegetarian,Solo Traveler,India - Taj Mahal
Historical Sites,Honeymoon,Mid-Range,Autumn,A Month,Hotel,Culture,Vegetarian,Family with Kids,France - Eiffel Tower in Paris
Historical Sites,Spiritual Retreat,Mid-Range,Winter,Weekend,Resort,Relaxation,Non-Vegetarian,Business Group,Switzerland - Swiss Alps
Mountains,Family Vacation,Budget-Friendly,Autumn,A Month,Camping,Relaxation,Non-Vegetarian,Solo Traveler,Indonesia - Bali Temples
City,Spiritual Retreat,Budget-Friendly,Winter,Long(+month),Hostel,Culture,Vegan,Family with Kids,New Zealand - Milford Sound
City,Spiritual Retreat,Budget-Friendly,Autumn,A Month,Hostel,Relaxation,Vegan,Solo Traveler,New Zealand - Milford Sound
Countryside,Spiritual Retreat,Luxury,Winter,Weekend,Camping,Nature,Vegan,Family with Kids,New Zealand - Milford Sound
Mountains,Adventure,Budget-Friendly,Autumn,A Month,Hostel,Culture,Non-Vegetarian,Family with Kids,USA - Grand Canyon
City,Family Vacation,Mid-Range,Summer,Long(+month),Resort,Nature,Vegan,Family with Kids,Greece - Santorini Sunset
Historical Sites,Other,Luxury,Autumn,3-days,Hostel,Culture,Vegetarian,Business Group,Spain - La Sagrada Familia in Barcelona
Island,Family Vacation,Luxury,Autumn,Weekend,Camping,Relaxation,Vegetarian,Couples,Brazil - Carnival in Rio de Janeiro
Island,Spiritual Retreat,Luxury,Spring,Weekend,Apartment,Culture,Vegan,Business Group,Brazil - Carnival in Rio de Janeiro
Beach,Honeymoon,Luxury,Autumn,Long(+month),Apartment,Adventure,Vegan,Friends Group,Egypt - Pyramids of Giza
Countryside,Family Vacation,Mid-Range,Autumn,A Month,Apartment,Nature,Non-Vegetarian,Family with Kids,Brazil - Carnival in Rio de Janeiro
Countryside,Adventure,Luxury,Summer,A Month,Resort,Adventure,Non-Vegetarian,Family with Kids,Mexico - Chichen Itza
Mountains,Honeymoon,Mid-Range,Autumn,Long(+month),Camping,Adventure,Vegan,Family with Kids,Greece - Santorini Sunset
City,Family Vacation,Mid-Range,Autumn,3-days,Hostel,Relaxation,Vegetarian,Friends Group,Brazil - Carnival in Rio de Janeiro
Countryside,Spiritual Retreat,Luxury,Summer,A Month,Resort,Nature,Vegan,Solo Traveler,Germany - Neuschwanstein Castle
Beach,Other,Luxury,Summer,A Month,Resort,Culture,Vegan,Couples,Egypt - Pyramids of Giza
City,Other,Mid-Range,Autumn,Long(+month),Hostel,Culture,Vegetarian,Friends Group,UAE - Burj Khalifa in Dubai
Countryside,Adventure,Mid-Range,Autumn,Long(+month),Apartment,Adventure,Vegan,Couples,South Africa - Safari in Kruger National Park
